fecha,origen,moneda,compra,venta
2023-05-01,SUNAT,USD,3.711,3.719
2023-05-02,SUNAT,USD,3.711,3.719
2023-05-03,SUNAT,USD,3.706,3.715
2023-05-04,SUNAT,USD,3.704,3.709
2023-05-05,SUNAT,USD,3.716,3.719
2023-05-06,SUNAT,USD,3.709,3.717
2023-05-07,SUNAT,USD,3.709,3.717
2023-05-08,SUNAT,USD,3.709,3.717
2023-05-09,SUNAT,USD,3.702,3.71
2023-05-10,SUNAT,USD,3.698,3.702
2023-05-11,SUNAT,USD,3.67,3.678
2023-05-12,SUNAT,USD,3.675,3.683
2023-05-13,SUNAT,USD,3.649,3.659
2023-05-14,SUNAT,USD,3.649,3.659
2023-05-15,SUNAT,USD,3.649,3.659
2023-05-16,SUNAT,USD,3.656,3.667
2023-05-17,SUNAT,USD,3.678,3.683
2023-05-18,SUNAT,USD,3.691,3.697
2023-05-19,SUNAT,USD,3.698,3.702
2023-05-20,SUNAT,USD,3.688,3.696
2023-05-21,SUNAT,USD,3.688,3.696
2023-05-22,SUNAT,USD,3.688,3.696
2023-05-23,SUNAT,USD,3.686,3.695
2023-05-24,SUNAT,USD,3.689,3.695
2023-05-25,SUNAT,USD,3.683,3.69
2023-05-26,SUNAT,USD,3.692,3.698
2023-05-27,SUNAT,USD,3.671,3.675
2023-05-28,SUNAT,USD,3.671,3.675
2023-05-29,SUNAT,USD,3.671,3.675
2023-05-30,SUNAT,USD,3.667,3.68
2023-05-31,SUNAT,USD,3.671,3.677
